siteName,siteType,depth,date,localTime,licorData,cloudy
PUNTA DONATO,IR,10,6/5/15,12:03:59,240.15,N
PUNTA DONATO,IR,10,6/5/15,12:04:29,232.17,N
PUNTA DONATO,IR,10,6/5/15,12:04:59,222.42,N
PUNTA DONATO,IR,10,6/5/15,12:05:29,243.58,N
PUNTA DONATO,IR,10,6/5/15,12:05:59,233.56,N
PUNTA DONATO,IR,10,6/5/15,12:06:29,223.66,N
PUNTA DONATO,IR,10,6/5/15,12:06:59,214.17,N
PUNTA DONATO,IR,10,6/5/15,12:07:29,212.64,N
PUNTA DONATO,IR,10,6/5/15,12:07:59,215.31,N
PUNTA DONATO,IR,10,6/5/15,12:08:29,217.32,N
PUNTA DONATO,IR,10,6/5/15,12:08:59,220.39,N
PUNTA DONATO,IR,10,6/5/15,12:09:29,213.32,N
PUNTA DONATO,IR,10,6/5/15,12:09:59,228.19,N
PUNTA DONATO,IR,10,6/5/15,12:10:29,222.4,N
PUNTA DONATO,IR,10,6/5/15,12:10:59,241.2,N
PUNTA DONATO,IR,10,6/5/15,12:11:29,272.78,N
PUNTA DONATO,IR,10,6/5/15,12:11:59,337.64,N
PUNTA DONATO,IR,10,6/5/15,12:12:29,372.5,N
PUNTA DONATO,IR,10,6/5/15,12:12:59,309.49,N
PUNTA DONATO,IR,10,6/5/15,12:13:29,295.25,N
PUNTA DONATO,IR,10,6/5/15,12:13:59,281.17,N
PUNTA DONATO,IR,10,6/5/15,12:14:29,270.56,N
PUNTA DONATO,IR,10,6/5/15,12:14:59,249.15,N
PUNTA DONATO,IR,10,6/5/15,12:15:29,229.12,N
PUNTA DONATO,IR,10,6/5/15,12:15:59,221.61,N
PUNTA DONATO,IR,10,6/5/15,12:16:29,206.87,N
PUNTA DONATO,IR,10,6/5/15,12:16:59,192.37,N
PUNTA DONATO,IR,10,6/5/15,12:17:29,185.26,N
PUNTA DONATO,IR,10,6/5/15,12:17:59,184.28,N
PUNTA DONATO,IR,10,6/5/15,12:18:29,182.03,N
PUNTA DONATO,IR,10,6/5/15,12:18:59,162.02,N
PUNTA DONATO,IR,10,6/5/15,12:19:29,164.63,N
PUNTA DONATO,IR,10,6/5/15,12:19:59,157.46,N
PUNTA DONATO,IR,10,6/5/15,12:20:29,159.03,N
PUNTA DONATO,IR,10,6/5/15,12:20:59,156.84,N
PUNTA DONATO,IR,10,6/5/15,12:21:29,169.02,N
PUNTA DONATO,IR,10,6/5/15,12:21:59,156.57,N
PUNTA DONATO,IR,10,6/5/15,12:22:29,156.7,N
PUNTA DONATO,IR,10,6/5/15,12:22:59,164.76,N
PUNTA DONATO,IR,10,6/5/15,12:23:29,163.68,N
PUNTA DONATO,IR,10,6/5/15,12:23:59,171.88,N
PUNTA DONATO,IR,10,6/5/15,12:24:29,176.9,N
PUNTA DONATO,IR,10,6/5/15,12:24:59,178.39,N
PUNTA DONATO,IR,10,6/5/15,12:25:29,186.95,N
PUNTA DONATO,IR,10,6/5/15,12:25:59,179.64,N
PUNTA DONATO,IR,10,6/5/15,12:26:29,186.96,N
PUNTA DONATO,IR,10,6/5/15,12:26:59,193.13,N
PUNTA DONATO,IR,10,6/5/15,12:27:29,187.24,N
PUNTA DONATO,IR,10,6/5/15,12:27:59,189.62,N
PUNTA DONATO,IR,10,6/5/15,12:28:29,191.59,N
PUNTA DONATO,IR,10,6/5/15,12:28:59,197.21,N
PUNTA DONATO,IR,10,6/5/15,12:29:29,202.93,N
PUNTA DONATO,IR,10,6/5/15,12:29:59,205.84,N
PUNTA DONATO,IR,10,6/5/15,12:30:29,206.14,N
PUNTA DONATO,IR,10,6/5/15,12:30:59,226.69,N
BASTIM NORTH,OR,15,5/29/15,9:53:42,457.59,N
BASTIM NORTH,OR,15,5/29/15,9:54:12,426.23,N
BASTIM NORTH,OR,15,5/29/15,9:54:42,437.6,N
BASTIM NORTH,OR,15,5/29/15,9:55:12,453.28,N
BASTIM NORTH,OR,15,5/29/15,9:55:42,406.63,N
BASTIM NORTH,OR,15,5/29/15,9:56:12,446.57,N
BASTIM NORTH,OR,15,5/29/15,9:56:42,536.76,N
BASTIM NORTH,OR,15,5/29/15,9:57:12,518.79,N
BASTIM NORTH,OR,15,5/29/15,9:57:42,483.62,N
BASTIM NORTH,OR,15,5/29/15,9:58:12,416.97,N
BASTIM NORTH,OR,15,5/29/15,9:58:42,439.48,N
BASTIM NORTH,OR,15,5/29/15,9:59:12,476.62,N
BASTIM NORTH,OR,15,5/29/15,9:59:42,507.53,N
BASTIM NORTH,OR,15,5/29/15,10:00:12,447.03,N
BASTIM NORTH,OR,15,5/29/15,10:00:42,459.61,N
BASTIM NORTH,OR,15,5/29/15,10:01:12,404.28,N
BASTIM NORTH,OR,15,5/29/15,10:01:42,459.15,N
BASTIM NORTH,OR,15,5/29/15,10:02:12,439.03,N
BASTIM NORTH,OR,15,5/29/15,10:02:42,430.26,N
BASTIM NORTH,OR,15,5/29/15,10:03:12,423.25,N
BASTIM NORTH,OR,15,5/29/15,10:03:42,428.97,N
BASTIM NORTH,OR,15,5/29/15,10:04:12,379.08,N
BASTIM NORTH,OR,15,5/29/15,10:04:42,399.8,N
BASTIM NORTH,OR,15,5/29/15,10:05:12,409.41,N
BASTIM NORTH,OR,15,5/29/15,10:05:42,398.58,N
BASTIM NORTH,OR,15,5/29/15,10:06:12,439.7,N
BASTIM NORTH,OR,15,5/29/15,10:06:42,410.77,N
BASTIM NORTH,OR,15,5/29/15,10:07:12,398.56,N
BASTIM NORTH,OR,15,5/29/15,10:07:42,406.9,N
BASTIM NORTH,OR,15,5/29/15,10:08:12,382.06,N
BASTIM NORTH,OR,15,5/29/15,10:08:42,404.97,N
BASTIM NORTH,OR,15,5/29/15,10:09:12,376.52,N
BASTIM NORTH,OR,15,5/29/15,10:09:42,388.72,N
BASTIM NORTH,OR,15,5/29/15,10:10:12,378.62,N
BASTIM NORTH,OR,15,5/29/15,10:10:42,356.89,N
BASTIM NORTH,OR,15,5/29/15,10:11:12,353.74,N
BASTIM NORTH,OR,15,5/29/15,10:11:42,337.63,N
BASTIM NORTH,OR,15,5/29/15,10:12:12,348.27,N
BASTIM NORTH,OR,15,5/29/15,10:12:42,330.13,N
BASTIM NORTH,OR,15,5/29/15,10:13:12,333.89,N
BASTIM NORTH,OR,15,5/29/15,10:13:42,331.77,N
BASTIM NORTH,OR,15,5/29/15,10:14:12,323.95,N
BASTIM NORTH,OR,15,5/29/15,10:14:42,331.89,N
BASTIM NORTH,OR,15,5/29/15,10:15:12,338.33,N
BASTIM NORTH,OR,15,5/29/15,10:15:42,324.72,N
BASTIM NORTH,OR,15,5/29/15,10:16:12,329.51,N
BASTIM NORTH,OR,15,5/29/15,10:16:42,338.43,N
BASTIM NORTH,OR,15,5/29/15,10:17:12,329.65,N
BASTIM NORTH,OR,15,5/29/15,10:17:42,329.31,N
BASTIM NORTH,OR,15,5/29/15,10:18:12,321.6,N
BASTIM NORTH,OR,15,5/29/15,10:18:42,336.68,N
BASTIM NORTH,OR,15,5/29/15,10:19:12,345.06,N
BASTIM NORTH,OR,15,5/29/15,10:19:42,356.85,N
BASTIM NORTH,OR,15,5/29/15,10:20:12,364.55,N
BASTIM NORTH,OR,15,5/29/15,10:20:42,353.29,N
BASTIM NORTH,OR,15,5/29/15,10:21:12,350.07,N
BASTIM NORTH,OR,15,5/29/15,10:21:42,348.21,N
BASTIM NORTH,OR,15,5/29/15,10:22:12,375.27,N
